"","gene_name","isoform_id","dIF","isoform_switch_q_value","domain_identified","idr_identified","signal_peptide_identified","PTC","sub_cell_location","switchConsequencesGene"
"30","CCDC50","ENST00000392455.9",-0.15148125,1.29614147981751e-07,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"31","FBLN1","ENST00000327858.11",-0.32776875,1.70764012593623e-07,"yes","no","yes",FALSE,"Extracellular",TRUE
"32","MAP1LC3A","ENST00000360668.8",0.11924375,2.49484546759588e-07,"yes","no","no",FALSE,"Cytoplasm",TRUE
"33","COASY","ENST00000393818.3",0.18708125,2.69857083007217e-07,"yes","no","no",FALSE,"Cytoplasm",TRUE
"34","USF2","ENST00000343550.9",0.1118,3.06023764489227e-07,"yes","yes","no",FALSE,"Nucleus",TRUE
"35","FDFT1","ENST00000525954.5",-0.12905625,3.53243619048351e-07,"yes","no","no",FALSE,"Mitochondrion",TRUE
"36","DNAJC15","ENST00000379221.4",-0.1059125,3.78751733534647e-07,"yes","no","no",FALSE,"Mitochondrion",TRUE
"37","FGF13","ENST00000436198.6",0.11151875,3.98124452152589e-07,"yes","no","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"38","SLC19A1","ENST00000650808.1",-0.24059375,6.74929436315923e-07,"yes","no","no",FALSE,"Cell_membrane",TRUE
"39","LRRC14","ENST00000292524.6",-0.186225,1.23195263978974e-06,"yes","no","no",FALSE,"Cytoplasm",TRUE
"40","FBXW7","ENST00000603548.6",-0.1081875,1.23788881579305e-06,"yes","yes","no",FALSE,"Nucleus",TRUE
"41","PPRC1","ENST00000278070.7",0.4263125,1.4510234063951e-06,"no","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"42","ANKRD54","ENST00000215941.9",0.194625,2.06287492299286e-06,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"43","MCM7","ENST00000303887.10",0.15961875,2.21457247022145e-06,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"44","KIF5C","ENST00000678856.1",-0.162075,2.54651267879701e-06,"no","yes","no",FALSE,"Cytoplasm",TRUE
"45","SLC39A7","ENST00000374677.8",0.1552125,2.69842347212672e-06,"yes","yes","yes",FALSE,"Endoplasmic_reticulum",TRUE
"46","SLC39A7","ENST00000374675.7",-0.15305,2.69842347212672e-06,"yes","yes","yes",FALSE,"Endoplasmic_reticulum",TRUE
"47","THEMIS2","ENST00000373927.7",-0.2701,2.77348610944606e-06,"yes","no","no",FALSE,"Cytoplasm",TRUE
"48","TEF","ENST00000266304.9",0.2843625,3.84153387961569e-06,"yes","yes","no",FALSE,"Nucleus",TRUE
"49","DMGDH","ENST00000255189.8",-0.22310625,4.76075440875474e-06,"yes","no","no",FALSE,"Mitochondrion",TRUE
"50","SSPN","ENST00000242729.7",-0.19663125,4.76380434092604e-06,"yes","yes","no",FALSE,"Cell_membrane",TRUE
"51","EEF1A2","ENST00000217182.6",0.531705,7.27011108260045e-06,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"52","COL12A1","ENST00000322507.13",0.10559375,7.47299217257728e-06,"yes","yes","yes",FALSE,"Extracellular",TRUE
"53","ZFP28","ENST00000301318.8",-0.13723125,9.6063818899999e-06,"yes","yes","no",FALSE,"Nucleus",TRUE
"54","SERPINF1","ENST00000573763.1",0.3601,1.10849797045333e-05,"yes","no","no",FALSE,NA,TRUE
"55","THG1L","ENST00000231198.12",-0.14475,1.17901698258927e-05,"yes","no","no",FALSE,"Cytoplasm",TRUE
"56","SRSF6","ENST00000244020.5",-0.1282,1.66120456625607e-05,"yes","yes","no",FALSE,"Nucleus",TRUE
"57","THADA","ENST00000405975.7",0.1855625,1.84681446686996e-05,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"58","SRRD","ENST00000215917.11",-0.18578125,1.94680266995893e-05,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"59","LTF","ENST00000231751.9",-0.27381875,2.01509989658073e-05,"yes","no","yes",FALSE,"Extracellular",TRUE
"60","POLR1C","ENST00000642195.1",0.20576875,2.13957032758638e-05,"yes","no","no",FALSE,"Nucleus",TRUE
"61","CCDC88B","ENST00000356786.10",-0.11115625,2.22075788930248e-05,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"62","GMPS","ENST00000295920.7",0.13694375,2.24254114078959e-05,"yes","no","no",FALSE,"Cytoplasm",TRUE
"63","LMNB2","ENST00000325327.4",-0.164925,2.42381988567666e-05,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"64","TPM1","ENST00000267996.11",-0.11245625,2.44624442655624e-05,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"65","CRELD1","ENST00000684493.1",0.13396875,2.69998429474563e-05,"yes","no","yes",FALSE,"Endoplasmic_reticulum",TRUE
"66","MCRIP2","ENST00000307650.9",0.2362875,2.86464652842657e-05,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"67","ZNF544","ENST00000687789.1",-0.19976875,2.87041817439102e-05,"yes","yes","no",FALSE,"Nucleus",TRUE
"68","PPM1A","ENST00000325642.7",0.20030625,2.92540605030748e-05,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"69","METTL26","ENST00000301686.13",0.14228125,3.09165396699698e-05,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"70","CCDC103","ENST00000417826.3",-0.18940625,5.04720964196732e-05,"yes","no","no",FALSE,"Cytoplasm",TRUE
"71","UQCC4","ENST00000442039.3",0.12335,7.87126432302631e-05,"yes","yes","no",FALSE,"Mitochondrion",TRUE
"72","SMAD6","ENST00000288840.10",-0.10513125,8.17621370055356e-05,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"73","IFT27","ENST00000433985.7",0.19685625,8.17712088679479e-05,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"74","LSM14A","ENST00000540746.6",0.1571875,8.24880181486133e-05,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"75","KCNAB1","ENST00000302490.12",-0.23233125,8.83004075922556e-05,"yes","no","no",FALSE,"Cytoplasm",TRUE
"76","SLC35A2","ENST00000445167.7",0.11445,9.53147963564682e-05,"yes","yes","no",FALSE,"Golgi_apparatus",TRUE
"77","DBP","ENST00000593500.1",-0.2150125,9.62364801181658e-05,"yes","yes","no",FALSE,"Nucleus",TRUE
"78","NEDD4","ENST00000435532.8",0.14130625,0.000108501418466378,"yes","yes","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"79","MIS12","ENST00000573759.1",-0.1569625,0.000110247875613568,"yes","no","no",FALSE,"Nucleus",TRUE
"80","NINJ2","ENST00000397265.7",0.41508125,0.000119775098550848,"yes","no","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"81","WEE1","ENST00000450114.7",0.208075,0.000126668311090125,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"82","ATRIP","ENST00000639561.1",0.16686875,0.000128049614325075,"no","no","no",TRUE,"Cytoplasm,Nucleus",TRUE
"83","SNX33","ENST00000308527.6",-0.133,0.000130733441495438,"yes","yes","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"84","WASHC1","ENST00000642633.1",-0.1438875,0.000142343380080203,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"85","NR4A1","ENST00000550763.1",-0.1347375,0.000165186603836825,"no","yes","no",FALSE,"Nucleus",TRUE
"86","BOD1","ENST00000285908.5",-0.10953125,0.00017935719766135,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"87","MAP3K8","ENST00000542547.5",-0.12903125,0.000182416744579664,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"88","HOMEZ","ENST00000357460.7",-0.16825625,0.000210626972385787,"yes","yes","no",FALSE,"Nucleus",TRUE
"89","RUNX2","ENST00000359524.7",0.46319375,0.000220064848076688,"yes","yes","no",FALSE,"Nucleus",TRUE
"90","ZNF862","ENST00000223210.5",-0.11515,0.000227746901809001,"yes","yes","no",FALSE,"Nucleus",TRUE
"91","C8orf58","ENST00000614574.4",-0.1725,0.000228352422395769,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"92","RILPL1","ENST00000636882.1",0.1373375,0.000230926904959146,"yes","yes","no",FALSE,"Cytoplasm,Golgi_apparatus",TRUE
"93","COL1A2","ENST00000297268.11",0.10260625,0.00023760847449602,"yes","yes","yes",FALSE,"Extracellular",TRUE
"94","PPP6R2","ENST00000395744.7",0.21204375,0.000244186377356577,"yes","yes","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"95","CRTC1","ENST00000594658.5",0.3656875,0.000251038424536994,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"96","PSTPIP1","ENST00000558012.6",-0.3138125,0.000263537106012833,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"97","MMP14","ENST00000311852.11",0.1675375,0.000271640321956886,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"98","CLDN5","ENST00000403084.1",0.1743875,0.000295393409073637,"yes","yes","no",FALSE,"Cell_membrane",TRUE
"99","KIAA0930","ENST00000391627.6",0.22618125,0.000308846435753427,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"100","AGER","ENST00000538695.2",-0.1789875,0.000325595112609277,"yes","no","yes",FALSE,"Extracellular",TRUE
"101","NARF","ENST00000390006.8",-0.1994625,0.000403372316598147,"yes","no","no",FALSE,"Cytoplasm",TRUE
"102","FAIM","ENST00000360570.8",0.12310625,0.000481078191574895,"yes","no","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"103","NUP93","ENST00000568656.5",-0.11994375,0.000483883221721406,"no","yes","no",FALSE,"Cytoplasm",TRUE
"104","DUSP15","ENST00000398084.6",0.119875,0.000518544846441181,"no","yes","no",FALSE,NA,TRUE
"105","LYVE1","ENST00000438354.6",-0.1892,0.000518615846984424,"no","no","no",TRUE,NA,TRUE
"106","FBXO25","ENST00000350302.8",-0.1373125,0.000520990740070894,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"107","SFTA2","ENST00000359086.4",0.18327375,0.000533514264082939,"yes","no","yes",FALSE,"Extracellular",TRUE
"108","ADAL","ENST00000389651.8",-0.16075625,0.000541929138496018,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"109","ZNF480","ENST00000595962.6",-0.2615125,0.000598114483744871,"yes","no","no",FALSE,"Nucleus",TRUE
"110","ZNF287","ENST00000395825.4",-0.21319375,0.000602120480537926,"yes","no","no",FALSE,"Nucleus",TRUE
"111","FMO1","ENST00000402921.6",0.1785375,0.000637575776058597,"yes","no","no",FALSE,"Endoplasmic_reticulum",TRUE
"112","FCGR2A","ENST00000367972.8",0.1192125,0.000698074068496915,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"113","KAT2A","ENST00000225916.10",0.16968125,0.000724482140180033,"yes","yes","no",FALSE,"Nucleus",TRUE
"114","FANCG","ENST00000378643.8",0.1766125,0.000731499526589315,"yes","no","no",FALSE,"Cytoplasm",TRUE
"115","ICMT","ENST00000343813.10",-0.1391125,0.000737919851736565,"yes","no","no",FALSE,"Endoplasmic_reticulum",TRUE
"116","DPP6","ENST00000404039.5",-0.47128125,0.000750502626010401,"yes","no","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"117","PKNOX1","ENST00000291547.10",0.15605,0.000754064471073743,"yes","yes","no",FALSE,"Nucleus",TRUE
"118","CDK1","ENST00000519078.6",-0.149575,0.000797846475461288,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"119","LOX","ENST00000231004.5",-0.17830625,0.000886070946489639,"yes","yes","yes",FALSE,"Extracellular",TRUE
"120","AKR1A1","ENST00000621846.4",-0.1271375,0.000908322997720148,"yes","no","no",FALSE,"Cytoplasm",TRUE
"121","PFDN4","ENST00000371419.7",-0.12854375,0.000965468083080405,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"122","PCDHAC2","ENST00000289269.7",0.10761875,0.00105379298716496,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"123","SPA17","ENST00000227135.7",-0.20555625,0.0011290361118476,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"124","ICAM3","ENST00000160262.10",-0.11813125,0.00114532898659935,"yes","no","yes",FALSE,"Cell_membrane",TRUE
"125","CASZ1","ENST00000377022.8",-0.1503125,0.00119787134635917,"yes","yes","no",FALSE,"Nucleus",TRUE
"126","CAMK2B","ENST00000495819.6",0.11969375,0.00121218398655825,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"127","POLRMT","ENST00000588649.7",0.1310875,0.00122392296762159,"yes","yes","no",FALSE,"Mitochondrion",TRUE
"128","ADH1B","ENST00000305046.13",-0.547061607142857,0.00125556968814458,"yes","no","no",FALSE,"Cytoplasm",TRUE
"129","DDX59","ENST00000331314.11",0.18136875,0.00133945225066169,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"130","PDSS2","ENST00000369037.9",0.18420625,0.00138297698611793,"yes","no","no",FALSE,"Mitochondrion",TRUE
"131","MED29","ENST00000315588.11",-0.1146375,0.00142568127921621,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"132","JPH2","ENST00000372980.4",-0.25940625,0.00147230043229708,"yes","yes","no",FALSE,"Cell_membrane,Endoplasmic_reticulum",TRUE
"133","ZEB1","ENST00000320985.14",-0.137075,0.0015836902176514,"yes","yes","no",FALSE,"Nucleus",TRUE
"134","ZXDC","ENST00000336332.5",0.20831875,0.0016939899923734,"yes","yes","no",FALSE,"Nucleus",TRUE
"135","ERBB3","ENST00000411731.6",0.17731875,0.00175748522399574,"yes","no","yes",FALSE,"Extracellular",TRUE
"136","EEF2KMT","ENST00000427587.9",-0.131375,0.00184042828782513,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"137","COA5","ENST00000328709.8",-0.10589375,0.00188861628495788,"yes","no","no",FALSE,"Cytoplasm",TRUE
"138","FAM174C","ENST00000409293.6",-0.14028125,0.00192030065375208,"yes","yes","yes",FALSE,"Lysosome_Vacuole,Golgi_apparatus",TRUE
"139","FOSL2","ENST00000264716.9",0.12283125,0.0019205025142975,"yes","yes","no",FALSE,"Nucleus",TRUE
"140","SLC1A5","ENST00000594991.5",0.1423375,0.00201231759587803,"yes","no","no",FALSE,"Cell_membrane",TRUE
"141","FBXW2","ENST00000608872.6",-0.153625,0.00206777039425946,"yes","no","no",FALSE,"Cytoplasm",TRUE
"142","PCLAF","ENST00000380258.6",0.10439375,0.00218844905958245,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"143","BCLAF3","ENST00000379687.8",-0.16144375,0.00221571549609518,"yes","yes","no",FALSE,"Nucleus",TRUE
"144","PHEX","ENST00000379374.5",-0.253564166666667,0.00225042777018569,"yes","no","no",FALSE,"Cell_membrane,Lysosome_Vacuole",TRUE
"145","ZDHHC1","ENST00000565726.3",0.12405,0.00265655524671427,"yes","yes","no",FALSE,"Golgi_apparatus",TRUE
"146","OGFOD3","ENST00000329197.9",0.12016875,0.00292255809191393,"no","yes","no",FALSE,"Endoplasmic_reticulum",TRUE
"147","PPP1R14A","ENST00000587515.5",-0.1124625,0.00298059264775555,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"148","MAMDC4","ENST00000479475.1",0.12028125,0.00298997288618815,"yes","yes","no",TRUE,"Extracellular",TRUE
"149","SYS1-DBNDD2","ENST00000452133.1",-0.3281,0.00301043691425705,"yes","no","no",TRUE,"Endoplasmic_reticulum",TRUE
"150","STK32C","ENST00000298630.8",0.1506375,0.00304251224199866,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"151","C1orf116","ENST00000359470.6",-0.12191875,0.00314418639117506,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"152","SLC1A4","ENST00000234256.4",0.14688125,0.00321801083306717,"yes","yes","no",FALSE,"Cell_membrane",TRUE
"153","C22orf39","ENST00000399562.9",0.13825625,0.00338608672079887,"yes","no","no",FALSE,"Cytoplasm,Mitochondrion",TRUE
"154","CEACAM1","ENST00000161559.11",-0.343,0.00340444507947615,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"155","ENSG00000286264","ENST00000652762.2",0.10525,0.00358603804346633,"no","yes","no",TRUE,"Cytoplasm,Nucleus",TRUE
"156","DNMT3A","ENST00000321117.10",-0.1666,0.00372552385979519,"yes","yes","no",FALSE,"Nucleus",TRUE
"157","PPP1R12B","ENST00000634903.1",-0.1547625,0.00374144459815057,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"158","MCRIP1","ENST00000455127.7",0.17489375,0.00381155085109366,"yes","no","no",FALSE,"Cytoplasm",TRUE
"159","KRT86","ENST00000553310.6",-0.24265625,0.00382008850373172,"yes","no","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"160","PHB1","ENST00000300408.8",-0.12208125,0.00388471874511193,"yes","no","no",FALSE,"Mitochondrion",TRUE
"161","PPIB","ENST00000300026.4",0.162775,0.00422732660734515,"yes","no","yes",FALSE,"Endoplasmic_reticulum",TRUE
"162","TRAK1","ENST00000613405.4",-0.29298125,0.00433460559037012,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"163","TRMT44","ENST00000389737.5",0.1337125,0.0044171083408946,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"164","ENSG00000144785","ENST00000548360.1",-0.488975,0.00451251437422399,"yes","no","yes",FALSE,"Extracellular",TRUE
"165","CTHRC1","ENST00000330295.10",-0.17138,0.00479120980301171,"yes","no","yes",FALSE,"Extracellular",TRUE
"166","LRRC4C","ENST00000527150.5",-0.198125,0.00492060661500341,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"167","BCL2L11","ENST00000393256.8",0.15048125,0.00497279900781894,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"168","ZGLP1","ENST00000403352.1",-0.16435,0.00504019580948767,"yes","yes","no",FALSE,"Nucleus",TRUE
"169","SLC4A5","ENST00000444570.5",0.1816875,0.0050620811699045,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"170","LRP8","ENST00000306052.12",-0.12910625,0.00520164189961719,"yes","yes","yes",FALSE,"Cell_membrane",TRUE
"171","SCHIP1","ENST00000482804.1",0.23018125,0.00592081579659548,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"172","NSDHL","ENST00000370274.8",-0.1147875,0.00595994053433746,"yes","no","no",FALSE,"Cytoplasm,Endoplasmic_reticulum",TRUE
"173","ARHGAP33","ENST00000590893.5",-0.10523125,0.00619330751020464,"no","yes","no",TRUE,"Cytoplasm,Nucleus",TRUE
"174","ACOT7","ENST00000377855.6",0.209375,0.00635202768205752,"yes","yes","no",FALSE,"Mitochondrion",TRUE
"175","ARHGAP24","ENST00000264343.4",-0.1485,0.0065845081368995,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"176","AKAP6","ENST00000557354.5",0.1310125,0.00674876230352755,"no","yes","no",FALSE,"Cytoplasm",TRUE
"177","ERGIC1","ENST00000393784.8",0.19184375,0.00689972779161665,"yes","no","no",FALSE,"Endoplasmic_reticulum,Golgi_apparatus",TRUE
"178","ENSG00000260643","ENST00000638948.1",0.11671875,0.0069460515104507,"yes","no","no",FALSE,"Mitochondrion",TRUE
"179","PCDHA10","ENST00000562220.2",0.19516875,0.00705499996986541,"yes","no","yes",FALSE,"Cell_membrane",TRUE
"180","CANT1","ENST00000302345.6",-0.11056875,0.00711730942395934,"yes","no","no",FALSE,"Endoplasmic_reticulum,Golgi_apparatus",TRUE
"181","DIMT1","ENST00000681192.1",0.14315,0.00759342000260581,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"182","PTMS","ENST00000710358.1",-0.16885,0.00790818077572766,"yes","yes","no",FALSE,"Nucleus",TRUE
"183","KANSL1L","ENST00000281772.14",-0.12355,0.00794322584574871,"yes","yes","no",FALSE,"Nucleus",TRUE
"184","TP53","ENST00000620739.4",-0.25413125,0.00795605529659018,"yes","yes","no",FALSE,"Nucleus",TRUE
"185","TMEM253","ENST00000673682.1",0.14303125,0.00796817580869127,"no","no","no",TRUE,"Mitochondrion",TRUE
"186","DDOST","ENST00000415136.6",0.142725,0.00833311675988117,"yes","no","yes",FALSE,"Endoplasmic_reticulum",TRUE
"187","SETD9","ENST00000418299.5",-0.1063375,0.00834102811368589,"no","no","no",TRUE,NA,TRUE
"188","CRIPT","ENST00000238892.4",-0.13308125,0.00836955407129585,"yes","no","no",FALSE,"Cytoplasm,Nucleus",TRUE
"189","GINS3","ENST00000318129.6",0.1787125,0.00876051037068602,"yes","no","no",FALSE,"Nucleus",TRUE
"190","ZNF213","ENST00000576863.1",0.1013875,0.00887593957182717,"yes","no","no",TRUE,"Cytoplasm,Nucleus",TRUE
"191","PLCL2","ENST00000615277.5",-0.26531875,0.00891085250298619,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"192","ASAP2","ENST00000281419.8",-0.167375,0.00892505325765595,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"193","ARFGAP2","ENST00000525314.6",0.1229625,0.00951190383855347,"yes","yes","no",FALSE,"Cytoplasm,Golgi_apparatus",TRUE
"194","RPS9","ENST00000302907.9",0.106475,0.00992829409350234,"yes","no","no",FALSE,"Cytoplasm",TRUE
"195","SMTN","ENST00000404574.5",0.10204375,0.0101111609985313,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"196","GPRASP1","ENST00000444152.5",-0.16620625,0.0104243067224206,"no","yes","no",FALSE,"Cytoplasm",TRUE
"197","PLEKHG6","ENST00000684764.1",-0.1987875,0.010427156085951,"yes","yes","no",FALSE,"Cytoplasm",TRUE
"198","ARHGEF25","ENST00000286494.9",0.25474375,0.0105581411330709,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"199","MELTF","ENST00000296351.8",0.1343,0.0106679478612741,"yes","yes","yes",FALSE,"Extracellular",TRUE
"200","ARID5A","ENST00000412735.5",-0.1374125,0.0106913036997424,"no","yes","no",TRUE,"Cytoplasm,Nucleus,Mitochondrion",TRUE
"201","NMB","ENST00000360476.8",-0.128625,0.0107165229897399,"yes","no","yes",FALSE,"Extracellular",TRUE
"202","NOTCH4","ENST00000375023.3",0.13924375,0.0110286491025044,"yes","no","yes",FALSE,"Extracellular",TRUE
"203","USP35","ENST00000526425.1",0.1233125,0.0113115726843744,"yes","yes","no",FALSE,"Cytoplasm,Nucleus",TRUE
"204","GPM6B","ENST00000316715.9",-0.1641375,0.0119664208847623,"yes","no","no",FALSE,"Cell_membrane",TRUE
"205","PPM1H","ENST00000228705.7",0.15649375,0.0121184085861988,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"206","SYK","ENST00000375754.9",0.17345625,0.012145060128244,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"207","ZNF93","ENST00000343769.6",0.297725,0.0124109023257198,"yes","no","no",FALSE,"Nucleus",TRUE
"208","CCDC40","ENST00000397545.9",-0.13508125,0.0126063292260074,"no","yes","no",FALSE,"Cytoplasm",TRUE
"209","AASS","ENST00000681511.1",0.11016875,0.0130412109933762,"yes","no","no",TRUE,"Cytoplasm",TRUE
"210","CD247","ENST00000362089.10",-0.14739375,0.0131816275941233,"yes","yes","no",FALSE,"Cell_membrane",TRUE
"211","EXOC1","ENST00000349598.6",-0.11038125,0.0133191729776718,"yes","no","no",FALSE,"Cytoplasm,Lysosome_Vacuole",TRUE
"212","MRPS25","ENST00000496484.3",-0.10430625,0.0133633031673927,"yes","no","no",TRUE,"Mitochondrion",TRUE
"213","C12orf75","ENST00000443585.6",-0.2172125,0.0134140879717105,"yes","yes","no",FALSE,"Cytoplasm,Cell_membrane",TRUE
"214","AIMP1","ENST00000684504.1",0.11036875,0.0135875266090222,"yes","yes","no",FALSE,"Cytoplasm",TRUE
