"iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","codingPotentialValue","codingPotential","domain_identified","idr_identified","signal_peptide_identified","sub_cell_location","IR","switchConsequencesGene"
"isoComp_00003273","geneComp_00000402","ENST00000356080.9","ADD3","normal","tumor","ADD3","protein_coding","protein_coding",88.7270562133657,119.876305594129,57.5778068326026,7.86883942224961,4.16162885845575,-1.0578315868367,NA,50.0985697045258,62.8104549518707,37.3866844571809,7.04521954105179,3.54305271164621,-0.74832402290395,NA,0.57193125,0.5088,0.6350625,0.1262625,0.0487512788189795,4.32284918968716e-08,FALSE,1,TRUE,"yes","yes","no","Cytoplasm",0,TRUE
"isoComp_00003656","geneComp_00000444","ENST00000305046.13","ADH1B","normal","tumor","ADH1B","protein_coding","protein_coding",17.1762790759822,33.2727331850442,1.07982496692014,4.25534399353304,0.213674237661946,-4.932605560386,NA,14.6242256163061,28.8668073451358,0.38164388747635,3.12087739424685,0.0998939016816457,-6.2042249928026,NA,0.626073333333333,0.88136875,0.334307142857143,-0.547061607142857,0.00125556968814458,0.00125556968814458,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00004213","geneComp_00000539","ENST00000476700.5","AGBL3","normal","tumor","AGBL3","protein_coding","retained_intron",4.62389319628435,3.25995908828044,5.98782730428827,0.273829952491789,0.520370561898052,0.875167397499282,NA,1.00212868985161,1.0228289049636,0.981428474739614,0.087186352858127,0.0803281225731303,-0.0590206818376263,NA,0.262075,0.34113125,0.18301875,-0.1581125,0.0285261956509713,0.0285261956509713,NA,0.953539,TRUE,NA,NA,NA,NA,0,TRUE
"isoComp_00004243","geneComp_00000545","ENST00000484849.5","AGER","normal","tumor","AGER","protein_coding","retained_intron",16.7576798317689,30.9608837737266,2.55447588981115,3.13385843705231,0.615556964046567,-3.59417663897102,NA,0.505960543790529,0.666924090326671,0.344996997254388,0.0681885445553983,0.0549134121727911,-0.931187238696432,NA,0.115021875,0.0239375,0.20610625,0.18216875,0.000385862247534896,0.000325595112609277,NA,0.999999,TRUE,NA,NA,NA,NA,1,TRUE
"isoComp_00004245","geneComp_00000545","ENST00000538695.2","AGER","normal","tumor","AGER","protein_coding","protein_coding",16.7576798317689,30.9608837737266,2.55447588981115,3.13385843705231,0.615556964046567,-3.59417663897102,NA,4.76665037188246,9.06557243441027,0.467728309354642,0.999580883712797,0.192027043244456,-4.24772636673246,NA,0.19826875,0.2877625,0.108775,-0.1789875,0.000325595112609277,0.000325595112609277,FALSE,0.852637,TRUE,"yes","no","yes","Extracellular",0,TRUE
"isoComp_00004749","geneComp_00000607","ENST00000684504.1","AIMP1","normal","tumor","AIMP1","protein_coding","protein_coding",74.3671215411047,70.326659721043,78.4075833611664,2.76854673187658,2.67402025514002,0.156900359006528,NA,34.8141505958118,28.6221837334124,41.0061174582112,1.13841551004272,1.62084641013913,0.518553227606608,NA,0.468015625,0.41283125,0.5232,0.11036875,0.0135875266090222,0.0036708453165388,FALSE,0.99995,TRUE,"yes","yes","no","Cytoplasm",0,TRUE
"isoComp_00004953","geneComp_00000647","ENST00000557354.5","AKAP6","normal","tumor","AKAP6","protein_coding","protein_coding",3.18220717673946,3.07827525390483,3.28613909957409,0.172750297344136,0.184035575885505,0.0939757827875426,NA,0.741224403346204,0.513798123513447,0.968650683178961,0.0562201958968617,0.0716046379964728,0.90178310890298,NA,0.22965,0.16414375,0.29515625,0.1310125,0.00674876230352755,0.0054028602150023,FALSE,1,TRUE,"no","yes","no","Cytoplasm",0,TRUE
"isoComp_00005080","geneComp_00000657","ENST00000621846.4","AKR1A1","normal","tumor","AKR1A1","protein_coding","protein_coding",84.5298516153176,95.1628112094498,73.8968920211853,3.99238933864761,2.7525343564924,-0.364840580044185,NA,25.8877161199477,34.5405494322371,17.2348828076582,2.65244481575314,1.30915940180065,-1.00254032832367,NA,0.2952,0.35876875,0.23163125,-0.1271375,0.000908322997720148,0.000908322997720148,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00005539","geneComp_00000713","ENST00000395321.6","ALDOC","normal","tumor","ALDOC","protein_coding","protein_coding",3.44440033962845,5.86103917646525,1.02776150279166,0.341282209613093,0.17164383244145,-2.50014096038137,NA,0.407344077885439,0.794324033008561,0.020364122762316,0.0461266058274737,0.00934505453030847,-4.72733723348703,NA,0.08589375,0.14738125,0.02440625,-0.122975,0.0344935742034298,0.0344935742034298,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00006096","geneComp_00000785","ENST00000266736.7","AMDHD1","normal","tumor","AMDHD1","protein_coding","protein_coding",2.31852531382614,1.71745740842101,2.91959321923127,0.142657022970703,0.305690096853119,0.762050216549893,NA,0.944374045800343,0.91495310429028,0.973794987310405,0.077636762519696,0.090622695067525,0.0889774822475715,NA,0.454846875,0.55485,0.35484375,-0.20000625,0.0158826862532916,0.0158826862532916,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00006378","geneComp_00000820","ENST00000689168.2","AMZ2P1","normal","tumor","AMZ2P1","lncRNA","lncRNA",19.8332100212962,21.208856015055,18.4575640275375,1.20098444800434,1.05347981655162,-0.200353297941847,NA,2.86380920604517,4.613417072612,1.11420133947834,0.684751763865817,0.22632574316854,-2.04005907315297,NA,0.138178125,0.213725,0.06263125,-0.15109375,0.0136914137069652,0.000208684901022623,NA,0.020499,FALSE,NA,NA,NA,NA,0,FALSE
"isoComp_00006486","geneComp_00000833","ENST00000261819.8","ANAPC5","normal","tumor","ANAPC5","protein_coding","protein_coding",95.0702725018796,86.4913127739707,103.649232229789,6.87213824462649,5.58265897162385,0.261054680432746,NA,28.4997086625286,20.0828573967489,36.9165599283084,0.858970237793459,1.63860235887758,0.877976123880451,NA,0.306346875,0.2490875,0.36360625,0.11451875,0.0172662221242888,0.000178107740594414,FALSE,1,TRUE,"yes","no","no","Cytoplasm,Lysosome_Vacuole",0,FALSE
"isoComp_00007230","geneComp_00000958","ENST00000215941.9","ANKRD54","normal","tumor","ANKRD54","protein_coding","protein_coding",16.9687571239438,20.4374984411249,13.5000158067628,0.838131323426146,0.516657767705843,-0.597894991188165,NA,9.26026909289587,9.5464023167957,8.97413586899604,0.389421758174629,0.330405739655245,-0.0890878452780216,NA,0.5703375,0.473025,0.66765,0.194625,2.06287492299286e-06,2.06287492299286e-06,FALSE,0.999997,TRUE,"yes","yes","no","Cytoplasm",0,TRUE
"isoComp_00007239","geneComp_00000958","ENST00000609706.1","ANKRD54","normal","tumor","ANKRD54","protein_coding","protein_coding_CDS_not_defined",16.9687571239438,20.4374984411249,13.5000158067628,0.838131323426146,0.516657767705843,-0.597894991188165,NA,5.57019578977337,8.45729976244459,2.68309181710216,0.65391206643343,0.268015874855021,-1.65263854748891,NA,0.301615625,0.4068125,0.19641875,-0.21039375,1.22614098340698e-05,2.06287492299286e-06,NA,0.0467618,FALSE,NA,NA,NA,NA,0,TRUE
"isoComp_00007288","geneComp_00000970","ENST00000286918.9","ANKRD9","normal","tumor","ANKRD9","protein_coding","protein_coding",12.7477251840864,9.30946702404908,16.1859833441237,0.809779241709599,1.23634814174121,0.797316709168496,NA,6.02000496212351,5.29900211717099,6.74100780707604,0.460023754777954,0.534948193055513,0.346662170517664,NA,0.497175,0.57375,0.4206,-0.15315,0.00146438390071224,0.00030648622444239,FALSE,0.993035,TRUE,"no","no","no","Cytoplasm",0,TRUE
"isoComp_00007290","geneComp_00000970","ENST00000559404.5","ANKRD9","normal","tumor","ANKRD9","protein_coding","protein_coding",12.7477251840864,9.30946702404908,16.1859833441237,0.809779241709599,1.23634814174121,0.797316709168496,NA,5.22396908820114,2.7854061024552,7.66253207394708,0.3465271439479,0.743817368425957,1.45664488595911,NA,0.37844375,0.2916,0.4652875,0.1736875,0.00030648622444239,0.00030648622444239,FALSE,0.260579,FALSE,"no","no","no",NA,0,TRUE
"isoComp_00007717","geneComp_00001025","ENST00000368947.9","ANXA9","normal","tumor","ANXA9","protein_coding","protein_coding",7.90367607298688,11.2402852687554,4.56706687721833,1.13000247284384,0.607080560584158,-1.29746630676148,NA,6.31404213600357,8.62072134419842,4.00736292780872,0.931252072797998,0.490386058850237,-1.10323234290545,NA,0.832546875,0.7653875,0.89970625,0.13431875,0.0407840800420511,0.0407840800420511,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,TRUE
"isoComp_00007718","geneComp_00001025","ENST00000474997.1","ANXA9","normal","tumor","ANXA9","protein_coding","protein_coding_CDS_not_defined",7.90367607298688,11.2402852687554,4.56706687721833,1.13000247284384,0.607080560584158,-1.29746630676148,NA,1.58963393698332,2.61956392455703,0.559703949409606,0.293670237485653,0.160558756154828,-2.20653925640381,NA,0.167453125,0.2346125,0.10029375,-0.13431875,0.0415603393391252,0.0407840800420511,NA,0.0176439,FALSE,NA,NA,NA,NA,0,TRUE
"isoComp_00007947","geneComp_00001048","ENST00000610402.5","AP2B1","normal","tumor","AP2B1","protein_coding","protein_coding",66.466133650598,66.2638114555453,66.6684558456507,2.26927042160904,2.09912857379217,0.0087818022109463,NA,24.8706830447504,29.2205570053156,20.5208090841851,1.38569953892241,0.813985377186947,-0.509686838082651,NA,0.3744,0.440175,0.308625,-0.13155,7.47299217257728e-06,7.47299217257728e-06,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Lysosome_Vacuole",0,FALSE
"isoComp_00007955","geneComp_00001048","ENST00000621914.4","AP2B1","normal","tumor","AP2B1","protein_coding","protein_coding",66.466133650598,66.2638114555453,66.6684558456507,2.26927042160904,2.09912857379217,0.0087818022109463,NA,36.8711148946468,33.0146976640368,40.7275321252567,1.3223596043805,1.62006831671282,0.302813230776635,NA,0.55393125,0.4983875,0.609475,0.1110875,2.19134008803446e-05,7.47299217257728e-06,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Lysosome_Vacuole",0,FALSE
"isoComp_00008524","geneComp_00001121","ENST00000343267.8","APOD","normal","tumor","APOD","protein_coding","protein_coding",77.9942017360012,154.19308589714,1.79531757486202,22.2034716687881,0.456688797106679,-6.41643518131103,NA,67.2431884694961,133.472491421576,1.01388551741587,20.1520213090097,0.289409711835137,-7.02645229536387,NA,0.662922580645161,0.8503375,0.463013333333333,-0.387324166666667,5.27464483254746e-09,5.27464483254746e-09,FALSE,0.998837,TRUE,"yes","no","yes","Extracellular",0,TRUE
"isoComp_00008528","geneComp_00001121","ENST00000463719.1","APOD","normal","tumor","APOD","protein_coding","retained_intron",77.9942017360012,154.19308589714,1.79531757486202,22.2034716687881,0.456688797106679,-6.41643518131103,NA,6.71020479372816,13.0372457057946,0.383163881661682,1.44145100969962,0.0819724671767955,-5.05247068016195,NA,0.155638709677419,0.093775,0.221626666666667,0.127851666666667,5.53351634367955e-07,5.27464483254746e-09,NA,0.593255,TRUE,NA,NA,NA,NA,0,TRUE
"isoComp_00009007","geneComp_00001184","ENST00000525314.6","ARFGAP2","normal","tumor","ARFGAP2","protein_coding","protein_coding",51.63774820987,57.7254301507333,45.5500662690067,3.67540709637568,1.60948289641279,-0.341687075024862,NA,17.1519925250207,15.8740474555634,18.429937594478,0.913407443292875,0.939079080519531,0.215255197110082,NA,0.34166875,0.2801875,0.40315,0.1229625,0.00951190383855347,0.00951190383855347,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Golgi_apparatus",0,TRUE
"isoComp_00009247","geneComp_00001216","ENST00000264343.4","ARHGAP24","normal","tumor","ARHGAP24","protein_coding","protein_coding",39.198038518296,55.9221470077176,22.4739300288744,3.99472751881357,1.76665167001936,-1.31478348029076,NA,8.28242446719553,14.197271445683,2.36757748870805,1.45884141538295,0.386845895204178,-2.57906524024948,NA,0.17355625,0.24780625,0.09930625,-0.1485,0.0065845081368995,0.0065845081368995,FALSE,1,TRUE,"yes","yes","no","Cytoplasm",0,TRUE
"isoComp_00009367","geneComp_00001230","ENST00000590893.5","ARHGAP33","normal","tumor","ARHGAP33","protein_coding","nonsense_mediated_decay",3.99648879434861,5.39964221395357,2.59333537474365,0.404241258634296,0.246852461835594,-1.05517200046952,NA,0.567074866067297,0.938550126903146,0.195599605231449,0.112101742169116,0.0545996199172205,-2.20588652160594,NA,0.124078125,0.17669375,0.0714625,-0.10523125,0.00619330751020464,0.00619330751020464,TRUE,0.486953,FALSE,"no","yes","no","Cytoplasm,Nucleus",0,TRUE
"isoComp_00009655","geneComp_00001268","ENST00000286494.9","ARHGEF25","normal","tumor","ARHGEF25","protein_coding","protein_coding",4.36418435645764,6.01166047658031,2.71670823633496,0.581426651142808,0.225164698620265,-1.14300102886092,NA,1.68055547475448,1.84151240054738,1.51959854896158,0.152008346986305,0.126335101604994,-0.275551152191825,NA,0.450034375,0.3226625,0.57740625,0.25474375,0.0105581411330709,0.0105581411330709,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Cell_membrane",1,TRUE
"isoComp_00009656","geneComp_00001268","ENST00000333972.11","ARHGEF25","normal","tumor","ARHGEF25","protein_coding","protein_coding",4.36418435645764,6.01166047658031,2.71670823633496,0.581426651142808,0.225164698620265,-1.14300102886092,NA,2.03217393936442,3.31337189216069,0.750975986568146,0.441669147528155,0.130922770023547,-2.12672490887486,NA,0.39586875,0.533625,0.2581125,-0.2755125,0.0428821400255683,0.0105581411330709,FALSE,1,TRUE,"yes","yes","no","Cytoplasm",1,TRUE
"isoComp_00009931","geneComp_00001300","ENST00000357485.8","ARID5A","normal","tumor","ARID5A","protein_coding","protein_coding",4.35930851547195,4.97448281841697,3.74413421252693,0.423852256462045,0.321024284157633,-0.408963592474379,NA,2.13249047981191,2.13413024795416,2.13085071166966,0.246250245153515,0.242613374389846,-0.00220835131006001,NA,0.492225,0.42284375,0.56160625,0.1387625,0.0316037940143734,0.0106913036997424,FALSE,1,TRUE,"yes","yes","no","Nucleus",0,TRUE
"isoComp_00009932","geneComp_00001300","ENST00000412735.5","ARID5A","normal","tumor","ARID5A","protein_coding","nonsense_mediated_decay",4.35930851547195,4.97448281841697,3.74413421252693,0.423852256462045,0.321024284157633,-0.408963592474379,NA,1.28409363123679,1.74726266187229,0.820924600601295,0.154421315782306,0.0988004954126868,-1.08054037458838,NA,0.283575,0.35228125,0.21486875,-0.1374125,0.0106913036997424,0.0106913036997424,TRUE,1,TRUE,"no","yes","no","Cytoplasm,Nucleus,Mitochondrion",0,TRUE
"isoComp_00010253","geneComp_00001348","ENST00000269932.10","ARMC6","normal","tumor","ARMC6","protein_coding","protein_coding",14.2838153755769,13.8623238132812,14.7053069378726,0.623145142333295,0.496415378241875,0.0851081548886676,NA,2.35034195457465,1.33704107740106,3.36364283174824,0.14192921348498,0.273094010838088,1.32451339749723,NA,0.162425,0.09798125,0.22686875,0.1288875,0.000153837674044493,0.000153837674044493,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,FALSE
"isoComp_00010254","geneComp_00001348","ENST00000392335.6","ARMC6","normal","tumor","ARMC6","protein_coding","protein_coding",14.2838153755769,13.8623238132812,14.7053069378726,0.623145142333295,0.496415378241875,0.0851081548886676,NA,8.80713086353103,9.6612449148973,7.95301681216477,0.434627658281975,0.342488697730309,-0.280386506614961,NA,0.62099375,0.69864375,0.54334375,-0.1553,0.0281209838881475,0.000153837674044493,FALSE,1,TRUE,"yes","no","no","Cytoplasm",0,FALSE
"isoComp_00010373","geneComp_00001357","ENST00000473968.7","ARMCX5","normal","tumor","ARMCX5","protein_coding","protein_coding",14.2151544320002,12.9070033693603,15.52330549464,0.761075723800418,0.778228044518487,0.266093452223976,NA,4.98415677029849,3.15088217518889,6.8174313654081,0.310495344287646,0.504067742659369,1.11101564753253,NA,0.3397375,0.24321875,0.43625625,0.1930375,0.000515547483452393,0.000515547483452393,FALSE,1,TRUE,"yes","yes","no","Cytoplasm",1,FALSE
"isoComp_00010845","geneComp_00001425","ENST00000281419.8","ASAP2","normal","tumor","ASAP2","protein_coding","protein_coding",21.5459605565851,27.0045843661584,16.0873367470119,1.81228760550135,1.02155363468884,-0.746916466707672,NA,9.24131876749852,13.2560783926531,5.22655914234397,0.796337881790652,0.333389518920901,-1.34105089947545,NA,0.4229,0.5065875,0.3392125,-0.167375,0.00892505325765595,0.00892505325765595,FALSE,1,TRUE,"yes","yes","no","Cytoplasm,Cell_membrane",0,TRUE
"isoComp_00012878","geneComp_00001687","ENST00000560354.1","ATP8B4","normal","tumor","ATP8B4","protein_coding","retained_intron",3.50986999576355,4.71774493549016,2.30199505603693,0.343499054921274,0.221904910104057,-1.0320138906153,NA,0.512587905220077,0.859498195949033,0.165677614491122,0.11065746486211,0.0480169341682376,-2.30725266482848,NA,0.126159375,0.1814375,0.07088125,-0.11055625,0.029378892328045,0.029378892328045,NA,0.134626,FALSE,NA,NA,NA,NA,0,TRUE
"isoComp_00012891","geneComp_00001690","ENST00000307671.12","ATP9B","normal","tumor","ATP9B","protein_coding","protein_coding",11.7053040668925,12.6077710367766,10.8028370970084,0.582310692217419,0.731387565794799,-0.222711966488043,NA,3.69833756822982,3.24215928689035,4.15451584956929,0.223153163948556,0.361512140232346,0.356750862590715,NA,0.3199875,0.256775,0.3832,0.126425,0.0133939743493547,0.0133939743493547,FALSE,1,TRUE,"yes","yes","no","Cell_membrane,Endoplasmic_reticulum,Lysosome_Vacuole,Golgi_apparatus",0,FALSE
"isoComp_00012971","geneComp_00001696","ENST00000346691.9","ATRIP","normal","tumor","ATRIP","protein_coding","protein_coding",6.23266254511399,4.99530482814182,7.47002026208615,0.289572275244837,0.444962871118247,0.579584244802122,NA,1.57392480155122,0.885133325050236,2.2627162780522,0.108910993270601,0.220833432029188,1.34424310708948,NA,0.2336375,0.17030625,0.29696875,0.1266625,0.00145494883000025,0.000128049614325075,FALSE,1,TRUE,"yes","yes","no","Nucleus",2,TRUE
"isoComp_00012973","geneComp_00001696","ENST00000634384.2","ATRIP","normal","tumor","ATRIP","protein_coding","nonsense_mediated_decay",6.23266254511399,4.99530482814182,7.47002026208615,0.289572275244837,0.444962871118247,0.579584244802122,NA,0.815673536607906,0.991717576023492,0.63962949719232,0.0808150272148092,0.072246347559173,-0.624786766430971,NA,0.145034375,0.20258125,0.0874875,-0.11509375,0.0079347916835327,0.000128049614325075,NA,1,TRUE,NA,NA,NA,NA,1,TRUE
"isoComp_00012978","geneComp_00001696","ENST00000639561.1","ATRIP","normal","tumor","ATRIP","protein_coding","nonsense_mediated_decay",6.23266254511399,4.99530482814182,7.47002026208615,0.289572275244837,0.444962871118247,0.579584244802122,NA,1.35522699285614,0.592422391519199,2.11803159419308,0.089703656216874,0.17711930959241,1.82067227037642,NA,0.201921875,0.1184875,0.28535625,0.16686875,0.000128049614325075,0.000128049614325075,TRUE,1,TRUE,"no","no","no","Cytoplasm,Nucleus",1,TRUE
"isoComp_00013944","geneComp_00001827","ENST00000322953.9","BANK1","normal","tumor","BANK1","protein_coding","protein_coding",8.24655786266904,8.70119498877528,7.79192073656279,1.02809336226571,0.749912568958947,-0.159041297750824,NA,4.04481687357504,4.88706842394392,3.20256532320617,0.699781263459063,0.37823700973139,-0.608192564269399,NA,0.475525,0.5507125,0.4003375,-0.150375,0.0362779530667183,0.0362779530667183,FALSE,1,TRUE,"yes","yes","no","Cytoplasm",0,TRUE
"isoComp_00014289","geneComp_00001863","ENST00000325805.13","BBX","normal","tumor","BBX","protein_coding","protein_coding",17.1102415559514,21.099145079483,13.1213380324198,1.28382000004133,0.669603002678544,-0.684854221958852,NA,6.22196597271586,6.53982086773384,5.90411107769787,0.333367492902493,0.386067962424719,-0.147294110521534,NA,0.385490625,0.31761875,0.4533625,0.13574375,0.0352336067019156,0.00147842517418514,FALSE,1,TRUE,"yes","yes","no","Nucleus",0,FALSE
"isoComp_00014569","geneComp_00001900","ENST00000393252.4","BCL2L11","normal","tumor","BCL2L11","protein_coding","protein_coding",12.8979946830774,16.8684993723176,8.92748999383722,1.06925116451108,0.609997331812854,-0.917245016432625,NA,3.36950038527137,5.28393524173882,1.45506552880393,0.543052326529283,0.199936513193926,-1.85337535280283,NA,0.2330125,0.3078375,0.1581875,-0.14965,0.00925674356842216,0.00497279900781894,FALSE,0.97566,TRUE,"yes","yes","no","Cytoplasm",1,TRUE
"isoComp_00014570","geneComp_00001900","ENST00000393256.8","BCL2L11","normal","tumor","BCL2L11","protein_coding","protein_coding",12.8979946830774,16.8684993723176,8.92748999383722,1.06925116451108,0.609997331812854,-0.917245016432625,NA,7.73393806709375,9.25353531727102,6.21434081691648,0.601923928307541,0.396906570094221,-0.573641827872239,NA,0.626809375,0.55156875,0.70205,0.15048125,0.00497279900781894,0.00497279900781894,FALSE,0.757792,TRUE,"yes","yes","no","Cytoplasm",1,TRUE
"isoComp_00014723","geneComp_00001919","ENST00000379687.8","BCLAF3","normal","tumor","BCLAF3","protein_coding","protein_coding",6.14988799406699,4.87354304200299,7.42623294613098,0.21952589401401,0.306750431845487,0.606643752351785,NA,3.22698801781646,3.02604385445717,3.42793218117576,0.105539579828472,0.122094948091577,0.179348455516708,NA,0.549203125,0.629925,0.46848125,-0.16144375,0.00221571549609518,0.00221571549609518,FALSE,1,TRUE,"yes","yes","no","Nucleus",5,TRUE
"isoComp_00014728","geneComp_00001919","ENST00000472158.5","BCLAF3","normal","tumor","BCLAF3","protein_coding","nonsense_mediated_decay",6.14988799406699,4.87354304200299,7.42623294613098,0.21952589401401,0.306750431845487,0.606643752351785,NA,1.2431025756457,0.565853349766927,1.92035180152447,0.0950252146230073,0.167929189710702,1.74509044055098,NA,0.1828,0.11030625,0.25529375,0.1449875,0.00878407783086163,0.00221571549609518,TRUE,0.994429,TRUE,"yes","yes","no","Cytoplasm,Nucleus",0,TRUE
