#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000370895.5	698	0.36573	6.80523681641	1	1	coding
ENST00000534632.5	162	0.49812	8.94183349609	-1	0.209416	noncoding
ENST00000533006.1	162	0.48279	7.77105712891	1	0.984655	coding
ENST00000370893.1	152	0.36699	6.75396728516	1	0.858674	coding
ENST00000459831.2	282	0.43903	5.83575439453	1	0.999995	coding
ENST00000370473.5	593	0.48332	5.97003173828	1	1	coding
ENST00000495131.2	469	0.38416	5.94683837891	1	1	coding
ENST00000484970.1	89	0.43718	9.12908935547	1	0.312911	noncoding
ENST00000468959.1	61	0.42339	5.41131591797	-1	0.0251547	noncoding
ENST00000681280.1	297	0.46162	7.00482177734	1	0.999997	coding
ENST00000493139.1	64	0.47365	4.57879638672	1	0.169134	noncoding
ENST00000469194.1	98	0.38398	6.82720947266	1	0.267497	noncoding
ENST00000393300.6	346	0.44413	5.85650634766	1	1	coding
ENST00000369551.5	387	0.4104	6.63128662109	1	1	coding
ENST00000320334.5	407	0.44665	6.16827392578	1	1	coding
ENST00000430394.3	80	0.41214	7.67962646484	1	0.142091	noncoding
ENST00000412169.1	68	0.42098	10.203918457	1	0.117181	noncoding
ENST00000271651.8	330	0.45154	8.71795654297	1	0.999999	coding
ENST00000676824.1	330	0.44016	8.71795654297	1	0.999998	coding
ENST00000678725.1	291	0.38465	8.83697509766	1	0.99981	coding
ENST00000480670.2	256	0.38572	8.65826416016	1	0.999048	coding
ENST00000677330.1	256	0.3693	8.65826416016	1	0.998193	coding
ENST00000462520.5	178	0.47492	6.11883544922	-1	0.188264	noncoding
ENST00000368918.8	449	0.31712	5.14801025391	1	1	coding
ENST00000489549.5	252	0.46393	5.21380615234	-1	0.525324	coding
ENST00000486076.5	223	0.46543	6.49713134766	-1	0.313543	noncoding
ENST00000368916.1	411	0.44056	5.09857177734	1	1	coding
ENST00000467551.1	114	0.46995	4.20758056641	1	0.898409	coding
ENST00000440685.7	99	0.46157	5.90240478516	1	0.555514	coding
ENST00000476133.6	99	0.44039	5.90240478516	1	0.53129	coding
ENST00000339556.8	99	0.45422	5.90240478516	1	0.551355	coding
ENST00000392622.3	99	0.48055	5.90240478516	1	0.540524	coding
ENST00000392623.5	99	0.4502	5.90240478516	1	0.547073	coding
ENST00000491177.1	113	0.3829	6.56927490234	1	0.485297	noncoding
ENST00000368373.8	537	0.39005	7.28656005859	1	1	coding
ENST00000327247.9	537	0.41849	7.28656005859	1	1	coding
ENST00000427500.7	488	0.34825	7.28814697266	1	1	coding
ENST00000428024.3	450	0.4456	6.64984130859	1	1	coding
ENST00000478472.1	91	0.37068	6.38043212891	1	0.18745	noncoding
ENST00000493842.5	227	0.40097	8.20318603516	-1	0.242104	noncoding
ENST00000473570.5	180	0.37339	6.56756591797	-1	0.137001	noncoding
ENST00000458222.5	150	0.44813	9.35003662109	-1	0.178086	noncoding
ENST00000368140.6	493	0.43937	9.82098388672	1	1	coding
ENST00000368138.7	484	0.44639	9.83184814453	1	1	coding
ENST00000392252.7	453	0.44219	9.83721923828	1	1	coding
ENST00000392254.6	462	0.44219	9.82659912109	1	1	coding
ENST00000368135.4	246	0.42068	9.32623291016	1	0.999349	coding
ENST00000485134.1	256	0.41255	9.85919189453	1	0.999288	coding
ENST00000368072.10	300	0.34563	4.25592041016	1	0.999995	coding
ENST00000472750.5	210	0.32253	4.32928466797	1	0.997537	coding
ENST00000532643.5	187	0.48827	5.04254150391	1	0.998263	coding
ENST00000524939.1	149	0.47116	4.44561767578	1	0.987851	coding
ENST00000472996.1	29	0.36153	9.05633544922	1	0.00856172	noncoding
ENST00000368006.8	319	0.40783	9.07269287109	1	0.999981	coding
ENST00000458050.6	319	0.41155	9.07269287109	1	0.999984	coding
ENST00000545495.5	319	0.41087	9.07269287109	1	0.999983	coding
ENST00000490843.6	319	0.42676	9.07269287109	1	0.999992	coding
ENST00000486041.5	236	0.42176	9.34210205078	1	0.998923	coding
ENST00000368005.5	349	0.43262	8.93438720703	1	0.999999	coding
ENST00000464113.1	287	0.43527	9.29620361328	-1	0.469194	noncoding
ENST00000473679.6	237	0.42084	9.37493896484	-1	0.315387	noncoding
ENST00000463227.5	257	0.41033	9.34381103516	-1	0.334394	noncoding
ENST00000496632.1	91	0.39596	10.1215209961	-1	0.138763	noncoding
ENST00000533357.5	259	0.43484	9.63873291016	1	0.999771	coding
ENST00000491222.5	53	0.44024	10.3389282227	1	0.0802644	noncoding
ENST00000526189.3	232	0.46268	9.79168701172	1	0.999595	coding
ENST00000476410.1	43	0.39462	9.39605712891	1	0.0226361	noncoding
ENST00000488271.1	53	0.47336	10.3389282227	1	0.145087	noncoding
ENST00000367972.8	317	0.47472	6.19146728516	1	1	coding
ENST00000699277.1	277	0.33955	5.63873291016	1	0.999864	coding
ENST00000699278.1	232	0.3422	6.64471435547	1	0.996175	coding
ENST00000271450.12	318	0.36189	6.19146728516	1	0.99999	coding
ENST00000699279.1	179	0.36606	8.99261474609	1	0.911686	coding
ENST00000467525.5	87	0.33078	9.62628173828	1	0.0833218	noncoding
ENST00000461298.1	53	0.39071	4.51092529297	1	0.066902	noncoding
ENST00000486608.1	53	0.35908	4.51092529297	1	0.0477987	noncoding
ENST00000491841.1	89	0.39363	9.46441650391	1	0.185384	noncoding
ENST00000367723.8	1406	0.4655	5.29315185547	1	1	coding
ENST00000616058.4	692	0.37305	5.07843017578	1	1	coding
ENST00000263688.4	1255	0.49541	4.93170166016	1	1	coding
ENST00000486569.1	45	0.44014	8.84197998047	1	0.0353444	noncoding
ENST00000609685.1	48	0.40297	5.01263427734	-1	0.0191093	noncoding
ENST00000294868.8	303	0.35168	5.60015869141	1	0.999982	coding
ENST00000287713.7	308	0.35881	6.58953857422	1	0.999969	coding
ENST00000464047.1	91	0.45975	6.37933349609	1	0.387562	noncoding
ENST00000304685.8	804	0.44278	5.60272216797	1	1	coding
ENST00000360851.4	769	0.44278	5.78350830078	1	1	coding
ENST00000695979.1	443	0.47881	7.06390380859	1	1	coding
ENST00000695984.1	568	0.45169	8.11199951172	1	1	coding
ENST00000367429.9	1232	0.48829	6.23065185547	1	1	coding
ENST00000630130.2	450	0.47548	6.80279541016	1	1	coding
ENST00000452560.5	37	0.37513	5.98480224609	1	0.0110749	noncoding
ENST00000413408.5	47	0.48554	5.30267333984	1	0.0369275	noncoding
ENST00000331314.11	620	0.50609	7.18048095703	1	1	coding
ENST00000429498.5	99	0.43845	9.99176025391	1	0.471893	noncoding
ENST00000433235.1	224	0.45961	9.09686279297	-1	0.346754	noncoding
ENST00000453944.1	75	0.32779	7.79644775391	-1	0.0977677	noncoding
ENST00000436897.1	160	0.45694	5.18304443359	-1	0.161527	noncoding
ENST00000359470.6	602	0.34773	8.78411865234	1	1	coding
ENST00000461135.2	356	0.40494	10.1028442383	1	0.999991	coding
ENST00000541565.5	357	0.30544	6.25299072266	1	0.99998	coding
ENST00000413764.6	494	0.36192	6.90411376953	1	1	coding
ENST00000261458.8	494	0.35868	6.90411376953	1	1	coding
ENST00000537898.5	429	0.32778	6.45611572266	1	1	coding
ENST00000545154.5	495	0.35648	8.28912353516	1	1	coding
ENST00000367010.5	494	0.35496	6.90411376953	1	1	coding
ENST00000367009.2	184	0.34599	8.88177490234	1	0.883947	coding
ENST00000361525.7	436	0.36773	6.64324951172	1	1	coding
ENST00000408911.8	459	0.37641	6.04290771484	1	1	coding
ENST00000366940.6	436	0.3503	6.64324951172	1	1	coding
ENST00000366937.5	471	0.33514	6.64373779297	1	1	coding
ENST00000361395.6	436	0.34723	6.64324951172	1	1	coding
ENST00000359162.6	436	0.34382	6.64324951172	1	1	coding
ENST00000493603.5	436	0.33514	6.64324951172	1	1	coding
ENST00000586199.5	48	0.35023	8.65447998047	1	0.0173967	noncoding
ENST00000477799.5	17	0.40384	11.1659545898	1	0.0111121	noncoding
ENST00000488947.5	65	0.44396	5.04254150391	1	0.155932	noncoding
ENST00000459825.1	22	0.41586	9.70025634766	1	0.0105285	noncoding
ENST00000680850.1	8926	0.42076	5.69769287109	1	1	coding
ENST00000284548.16	6621	0.42076	5.52667236328	1	1	coding
ENST00000662438.1	8484	0.42076	5.68035888672	1	1	coding
ENST00000668943.1	128	0.43279	7.54388427734	-1	0.0846919	noncoding
ENST00000483539.3	601	0.37876	5.70904541016	1	1	coding
ENST00000494839.2	64	0.4491	8.69134521484	1	0.106569	noncoding
ENST00000668629.1	89	0.41163	5.06939697266	-1	0.0386873	noncoding
ENST00000602685.1	115	0.3217	8.31146240234	1	0.205465	noncoding
ENST00000602832.1	112	0.43043	5.04510498047	-1	0.063378	noncoding
ENST00000664957.1	1077	0.47306	5.28460693359	1	1	coding
ENST00000664561.1	419	0.42357	4.91094970703	1	1	coding
ENST00000474237.2	283	0.38594	4.47137451172	1	0.999995	coding
ENST00000664353.1	499	0.44308	4.82916259766	1	1	coding
ENST00000669688.1	70	0.39744	8.93780517578	1	0.0791524	noncoding
ENST00000665495.1	336	0.40654	9.10540771484	1	0.999991	coding
ENST00000660585.1	118	0.43161	10.1499633789	-1	0.165119	noncoding
ENST00000664862.1	520	0.40355	8.82086181641	1	1	coding
ENST00000391860.7	525	0.31714	9.02825927734	1	0.999999	coding
ENST00000525115.1	456	0.41872	9.39801025391	1	1	coding
ENST00000649127.1	139	0.30069	9.75396728516	1	0.26791	noncoding
ENST00000400946.3	139	0.41521	9.75396728516	1	0.810558	coding
ENST00000648241.1	139	0.40167	9.75396728516	1	0.756488	coding
ENST00000649681.1	139	0.31307	9.75396728516	1	0.31354	noncoding
ENST00000315273.4	962	0.42262	6.06243896484	1	1	coding
ENST00000281419.8	1007	0.43847	6.23809814453	1	1	coding
ENST00000484590.1	132	0.29268	8.55120849609	1	0.244479	noncoding
ENST00000264709.7	913	0.32218	6.19073486328	1	1	coding
ENST00000321117.10	913	0.34344	6.19073486328	1	1	coding
ENST00000380746.8	724	0.41554	6.41339111328	1	1	coding
ENST00000380756.7	782	0.3932	5.61053466797	1	1	coding
ENST00000683393.1	508	0.39451	6.82525634766	1	1	coding
ENST00000683760.1	761	0.41218	7.16290283203	1	1	coding
ENST00000402667.1	690	0.45114	6.09783935547	1	1	coding
ENST00000474887.6	223	0.41533	8.39593505859	1	0.998224	coding
ENST00000466601.5	140	0.41405	8.78753662109	-1	0.129298	noncoding
ENST00000474807.5	201	0.4206	7.54376220703	-1	0.194291	noncoding
ENST00000484184.1	64	0.39959	6.70989990234	-1	0.0320572	noncoding
ENST00000406659.3	167	0.34063	4.76190185547	1	0.969127	coding
ENST00000260598.10	299	0.41801	5.91070556641	1	0.999997	coding
ENST00000260599.11	299	0.41526	5.63775634766	1	0.999998	coding
ENST00000490823.5	240	0.43489	5.76959228516	1	0.99992	coding
ENST00000429697.2	344	0.43585	5.75823974609	1	1	coding
ENST00000469936.5	57	0.40328	10.8065795898	1	0.0599712	noncoding
ENST00000464371.1	151	0.45828	6.29486083984	1	0.970454	coding
ENST00000455230.5	138	0.4724	7.75604248047	1	0.928109	coding
ENST00000002125.9	442	0.47275	8.46575927734	1	1	coding
ENST00000474154.5	215	0.38274	8.75531005859	1	0.990946	coding
ENST00000336237.10	344	0.43564	8.78692626953	1	0.999999	coding
ENST00000474257.5	100	0.3771	10.5409545898	1	0.223354	noncoding
ENST00000441905.1	59	0.34982	11.4931030273	1	0.0388231	noncoding
ENST00000407351.5	1149	0.47287	5.47808837891	1	1	coding
ENST00000405975.7	1954	0.47381	5.71124267578	1	1	coding
ENST00000405006.8	1954	0.46877	5.71124267578	1	1	coding
ENST00000467668.1	69	0.43274	9.20465087891	1	0.123307	noncoding
ENST00000485018.1	81	0.41367	6.38885498047	1	0.181734	noncoding
ENST00000486735.5	28	0.42079	7.82269287109	1	0.00850846	noncoding
ENST00000473004.5	55	0.4201	9.03472900391	1	0.0498115	noncoding
ENST00000402796.5	507	0.38676	6.91864013672	-1	0.897734	coding
ENST00000485353.5	157	0.41562	6.09869384766	-1	0.107094	noncoding
ENST00000486447.1	81	0.29857	9.44464111328	1	0.0527255	noncoding
ENST00000238892.4	118	0.26785	9.09686279297	1	0.129302	noncoding
ENST00000698499.1	70	0.33207	9.12921142578	1	0.0426701	noncoding
ENST00000698500.1	578	0.40819	5.65765380859	1	1	coding
ENST00000409245.5	825	0.43084	6.17205810547	1	1	coding
ENST00000319190.11	859	0.45997	6.02752685547	1	1	coding
ENST00000461601.5	507	0.4712	7.02239990234	-1	0.978115	coding
ENST00000409825.5	740	0.44689	6.36102294922	1	1	coding
ENST00000491786.5	599	0.46661	5.78045654297	1	1	coding
ENST00000484061.5	308	0.44125	5.81378173828	1	0.999999	coding
ENST00000440051.1	70	0.44226	8.83648681641	1	0.136954	noncoding
ENST00000651101.1	179	0.34969	6.06134033203	1	0.964644	coding
ENST00000652568.1	308	0.46322	5.81378173828	1	0.999999	coding
ENST00000651415.1	407	0.45459	5.77899169922	1	1	coding
ENST00000496991.3	80	0.40239	6.71246337891	1	0.142201	noncoding
ENST00000448713.5	33	0.36749	4.31610107422	-1	0.0138267	noncoding
ENST00000441997.5	77	0.43473	10.6644897461	1	0.216358	noncoding
ENST00000419035.1	72	0.34881	10.0162963867	1	0.0593365	noncoding
ENST00000658129.1	72	0.34881	10.0162963867	1	0.0593365	noncoding
ENST00000450550.5	68	0.38044	8.90789794922	-1	0.0838395	noncoding
ENST00000413185.3	77	0.32579	8.65850830078	1	0.0509915	noncoding
ENST00000405482.5	310	0.48012	5.09002685547	-1	0.795925	coding
ENST00000431489.6	1161	0.45797	5.65460205078	1	1	coding
ENST00000263991.9	1232	0.50301	5.23931884766	1	1	coding
ENST00000405289.5	1197	0.45007	5.30902099609	1	1	coding
ENST00000469591.1	55	0.32948	10.7739868164	1	0.0316133	noncoding
ENST00000422032.1	182	0.44263	4.73455810547	-1	0.228947	noncoding
ENST00000496857.5	315	0.46669	5.70941162109	1	1	coding
ENST00000394019.7	1122	0.41251	7.77581787109	1	1	coding
ENST00000346834.8	1138	0.41251	8.10101318359	1	1	coding
ENST00000423644.5	1122	0.40747	7.77581787109	1	1	coding
ENST00000479776.1	65	0.40174	10.0326538086	1	0.077789	noncoding
ENST00000432728.1	122	0.44266	6.05938720703	-1	0.0710273	noncoding
ENST00000444570.5	144	0.46266	5.38433837891	-1	0.122906	noncoding
ENST00000290536.9	531	0.41818	6.39898681641	1	1	coding
ENST00000421985.2	531	0.42328	6.39898681641	1	1	coding
ENST00000464686.5	283	0.4179	8.48748779297	1	0.999941	coding
ENST00000409585.5	527	0.43027	6.28631591797	1	1	coding
ENST00000536235.5	527	0.42328	6.28631591797	1	1	coding
ENST00000438226.5	121	0.35281	6.25775146484	-1	0.0764936	noncoding
ENST00000422394.5	156	0.38896	8.87982177734	1	0.862461	coding
ENST00000608013.1	111	0.31464	4.75018310547	1	0.482761	noncoding
ENST00000702794.1	73	0.31573	9.91949462891	1	0.0473205	noncoding
ENST00000442128.2	180	0.27251	8.09405517578	1	0.606982	coding
ENST00000470579.5	264	0.42025	9.50421142578	-1	0.37219	noncoding
ENST00000673792.1	328	0.49151	9.22601318359	1	0.999999	coding
ENST00000412735.5	431	0.42029	9.38214111328	1	1	coding
ENST00000357485.8	595	0.45716	9.33770751953	1	1	coding
ENST00000467498.5	160	0.42641	10.0005493164	-1	0.211768	noncoding
ENST00000497920.1	543	0.43602	9.67559814453	1	1	coding
ENST00000264972.10	620	0.45635	7.78338623047	1	1	coding
ENST00000483781.5	326	0.42239	7.16180419922	1	0.999999	coding
ENST00000698508.1	620	0.45635	7.78338623047	1	1	coding
ENST00000698509.1	659	0.45046	8.66961669922	1	1	coding
ENST00000463643.5	510	0.47497	8.51202392578	1	1	coding
ENST00000498836.5	36	0.39471	12.3027954102	1	0.0182443	noncoding
ENST00000487283.5	238	0.33126	8.08465576172	1	0.987616	coding
ENST00000451498.2	313	0.43192	7.52252197266	1	0.999997	coding
ENST00000495754.1	175	0.39124	9.34259033203	1	0.939055	coding
ENST00000489250.1	84	0.44763	8.46685791016	1	0.266239	noncoding
ENST00000410049.1	191	0.47114	9.67974853516	1	0.996923	coding
ENST00000258457.7	233	0.37649	9.75604248047	1	0.991957	coding
ENST00000419296.1	135	0.32385	9.53118896484	1	0.335604	noncoding
ENST00000336905.3	135	0.29551	9.53118896484	1	0.235874	noncoding
ENST00000405953.6	113	0.44535	4.95904541016	1	0.836989	coding
ENST00000308659.12	139	0.32551	8.55267333984	1	0.421994	noncoding
ENST00000393256.8	199	0.28432	8.42608642578	1	0.757792	coding
ENST00000393252.4	293	0.3072	10.2272338867	1	0.97566	coding
ENST00000433098.6	110	0.29156	5.82025146484	1	0.28488	noncoding
ENST00000439718.1	86	0.29452	6.24749755859	1	0.0922652	noncoding
ENST00000346226.7	519	0.47397	5.03790283203	1	1	coding
ENST00000348750.8	410	0.45924	5.33575439453	1	1	coding
ENST00000351659.7	507	0.46322	5.09051513672	1	1	coding
ENST00000393040.7	483	0.47769	5.17523193359	1	1	coding
ENST00000316724.10	594	0.45962	4.97467041016	1	1	coding
ENST00000462958.5	133	0.27849	8.45318603516	1	0.226115	noncoding
ENST00000409400.1	440	0.45924	5.09893798828	1	1	coding
ENST00000484253.1	286	0.44486	4.69891357422	-1	0.68297	coding
ENST00000392929.6	84	0.30497	9.23370361328	1	0.0591928	noncoding
ENST00000668300.1	30	0.37408	7.77667236328	1	0.00684755	noncoding
ENST00000670642.1	78	0.30557	6.86956787109	1	0.0537102	noncoding
ENST00000428857.2	125	0.34787	8.25286865234	1	0.384579	noncoding
ENST00000413962.6	125	0.32551	8.25286865234	1	0.298756	noncoding
ENST00000678291.1	738	0.44333	5.26129150391	1	1	coding
ENST00000435030.6	958	0.44478	5.86016845703	1	1	coding
ENST00000677891.1	958	0.4521	5.86016845703	1	1	coding
ENST00000677843.1	934	0.44478	5.67901611328	1	1	coding
ENST00000464066.6	863	0.44753	5.78179931641	1	1	coding
ENST00000678636.1	594	0.44648	5.48687744141	1	1	coding
ENST00000677474.1	594	0.43448	5.48687744141	1	1	coding
ENST00000678720.1	510	0.44648	6.17291259766	1	1	coding
ENST00000678856.1	545	0.43467	6.31610107422	1	1	coding
ENST00000482151.1	240	0.34307	9.72467041016	1	0.97877	coding
ENST00000677862.1	162	0.32485	10.0449829102	1	0.547475	coding
ENST00000677465.1	144	0.32485	9.94683837891	1	0.396502	noncoding
ENST00000493035.5	128	0.36914	10.4752807617	1	0.444865	noncoding
ENST00000315796.5	336	0.3751	6.34918212891	1	0.999998	coding
ENST00000493742.1	83	0.316	11.5614624023	1	0.061879	noncoding
ENST00000491440.1	62	0.41278	4.70806884766	1	0.129056	noncoding
ENST00000488581.5	69	0.44115	4.04400634766	1	0.331856	noncoding
ENST00000392582.2	147	0.45823	5.90545654297	1	0.967442	coding
ENST00000468537.1	69	0.465	4.04400634766	1	0.316723	noncoding
